Line #,Part #,2021 List Price1,Line #,Part #,2021 List Price2,Line #,Part #,2021 List Price3
1260,485024FB,69,873,5043A1,17.95,1271,5201S,20
1263,49001TH,20,874,5044A1,19.75,1274,5201XL,20
1264,49002BH,17,621,50502X3X,155,878,5212A1,17.1
1265,49003CC,2,620,5050LX,155,879,5212A5,18.25
1266,49004SP,2,619,5050SM,155,880,5215A1,18.7
1267,49005USB,14,615,50512X3X,100,881,5215A5,93
1268,49006BL,2,614,5051LX,100,840,5302A10,46
1269,49007PW,3,613,5051SM,100,844,5303A10,49
612,5003AF,105,624,50552X3X,155,837,5306A10,28.5
1243,5004WP,41.5,623,5055LX,155,855,5307A1,34.5
1240,5005P,14,622,5055SM,155,856,5307A10,312
1241,5006MP,23.5,618,50562X3X,100,857,5308A1,61.5
1242,5007LP,27.5,617,5056LX,100,858,5308A10,551.5
1261,5013,2.5,616,5056SM,100,843,5309A10,40
1244,5026,83.5,875,5061A1,14.5,841,5310A1,18
871,5027B,12.5,607,5065,7.5,842,5310A5,80.5
872,5027B10,102,876,5065A1,12.75,851,5314A10,23.4
869,5027E,17,608,5066,4.5,852,5314A25,57.5
847,5027F,14,877,5066A1,12.8,853,5317A10,18.5
848,5027F15,62.5,745,5071,34.5,854,5317A25,46
861,5029B,15,746,5072,11,883,5329A25,202
862,5029B10,138.5,742,5073H,67,882,5329A5,43
865,5029C,18,1262,5090,5.5,885,5330A25,206
867,5029C,18,1259,5094,24,884,5330A5,44
1102,5030,2007,838,5101A10,31.5,859,5331A1,12.5
1103,5030100,2017,839,5102A10,36.5,860,5331A5,59.5
1105,5030250,2222,845,5104A5,33.5,886,5335A25,108.75
863,5030A,17,849,5105A5,38.5,887,5335A5,21.9
864,5030A10,159.5,846,5106A5,80.5,888,5340A,28.5
866,5030A10,159.5,850,5107A5,93,889,5340B,47.5
1104,5031,2076,1270,5200B,15,1128,602100A,924.5
868,5031A,23,1275,52012X,20,1125,60230A,662
870,5032A,22,1273,5201L,20,1126,60260A,692
606,5040,33.5,1272,5201M,20,1127,60280A,899
1182,603012K,337,1136,620090,707,1193,630001T,45.5
1183,603018K,347,1137,620100,717,1194,630002W,37.5
1184,603024K,357,1138,620110,728,1186,630003B,164
1170,60310012,1490,1139,620120,738,1187,630012C,62
1171,60310018,1500,1140,620130,748,1188,630018C,69.5
1172,60310024,1510,1141,620140,758,1189,630024C,77.5
1161,6033012,1161.5,1142,620150,768,1185,630042P,143.5
1162,6033018,1177,1143,620160,778,1190,630112CB,196
1163,6033024,1187,1144,620170,788,1191,630118CB,206
1164,6036012,1192,1145,620180,798,1192,630124CB,216.5
1165,6036018,1202,1146,620190,810,1196,6401422,67
1166,6036024,1222.5,1147,620200,820,1197,6402ADJ,146.5
1167,6038012,1449.5,1148,620210,830,1198,6409PC,16.5
1168,6038018,1464.5,1149,620220,840,916,6500128,2443
1169,6038024,1485,1150,620230,850,917,6500244,2952.5
1195,6040422,203,1151,620240,860,920,6500321,693
911,6050128,5136,1152,620250,871,921,6500433,948
912,6050228W,5498,1153,620260,882,922,6500545,1118
913,6050328R,6522,1154,620270,893,923,6500657,1294.5
914,6050428WR,7081.5,1155,620280,904,918,6500728,1437
915,605047,3197,1156,620290,914,919,6500844,4073
1106,6160505,395,1157,620300,924,938,650124MH,2300
1107,6160512,425,1158,620310,934,937,65012F,1323
1110,6160512W,250,1159,620320,944,924,6501528,1437
1111,6160524A,100,1160,620330,954,925,6501644,1781.5
1108,6161005,670,1173,62100A,450.5,940,65020BFS,1666.5
1109,6161012,700,1174,62101B,462.5,939,65020BFZ,835
1129,620020,497,1175,62102C,385.5,942,65030CFS,1539
1130,620030,507,1176,62103D,260,941,65030CFZ,804
1131,620040,517,1177,62201EA,234,944,65040CMS,1172
1132,620050,527,1178,62202S,122,943,65040CMZ,800
1133,620060,537,1179,62203C,79.5,946,65050CRS,550.5
1134,620070,687,1180,62204D,170,945,65050CRZ,261
1135,620080,697,1181,62205T,148.5,948,65060FMS,1116
