,Line #,Part #,2021 List Price1,equipdirectcost1,25 Percent Profit Margin1,Line #.1,Part #.1,2021 List Price2,equipdirectcost2,25 Percent Profit Margin2,Line #.2,Part #.2,2021 List Price3,equipdirectcost3,25 Percent Profit Margin3
0,1260,485024FB,69,43.47,57.96,873,5043A1,17.95,11.3085,15.08,1271,5201S,20,12.6,16.8
1,1263,49001TH,20,12.6,16.8,874,5044A1,19.75,12.4425,16.59,1274,5201XL,20,12.6,16.8
2,1264,49002BH,17,10.71,14.28,621,50502X3X,155,97.65,130.2,878,5212A1,17.1,10.773,14.36
3,1265,49003CC,2,1.26,1.68,620,5050LX,155,97.65,130.2,879,5212A5,18.25,11.4975,15.33
4,1266,49004SP,2,1.26,1.68,619,5050SM,155,97.65,130.2,880,5215A1,18.7,11.781,15.71
5,1267,49005USB,14,8.82,11.76,615,50512X3X,100,63,84,881,5215A5,93,58.59,78.12
6,1268,49006BL,2,1.26,1.68,614,5051LX,100,63,84,840,5302A10,46,28.98,38.64
7,1269,49007PW,3,1.89,2.52,613,5051SM,100,63,84,844,5303A10,49,30.87,41.16
8,612,5003AF,105,66.15,88.2,624,50552X3X,155,97.65,130.2,837,5306A10,28.5,17.955,23.94
9,1243,5004WP,41.5,26.145,34.86,623,5055LX,155,97.65,130.2,855,5307A1,34.5,21.735,28.98
10,1240,5005P,14,8.82,11.76,622,5055SM,155,97.65,130.2,856,5307A10,312,196.56,262.08
11,1241,5006MP,23.5,14.805,19.74,618,50562X3X,100,63,84,857,5308A1,61.5,38.745,51.66
12,1242,5007LP,27.5,17.325,23.1,617,5056LX,100,63,84,858,5308A10,551.5,347.445,463.26
13,1261,5013,2.5,1.575,2.1,616,5056SM,100,63,84,843,5309A10,40,25.2,33.6
14,1244,5026,83.5,52.605,70.14,875,5061A1,14.5,9.135,12.18,841,5310A1,18,11.34,15.12
15,871,5027B,12.5,7.875,10.5,607,5065,7.5,4.725,6.3,842,5310A5,80.5,50.715,67.62
16,872,5027B10,102,64.26,85.68,876,5065A1,12.75,8.0325,10.71,851,5314A10,23.4,14.742,19.66
17,869,5027E,17,10.71,14.28,608,5066,4.5,2.835,3.78,852,5314A25,57.5,36.225,48.3
18,847,5027F,14,8.82,11.76,877,5066A1,12.8,8.064,10.75,853,5317A10,18.5,11.655,15.54
19,848,5027F15,62.5,39.375,52.5,745,5071,34.5,21.735,28.98,854,5317A25,46,28.98,38.64
20,861,5029B,15,9.45,12.6,746,5072,11,6.93,9.24,883,5329A25,202,127.26,169.68
21,862,5029B10,138.5,87.255,116.34,742,5073H,67,42.21,56.28,882,5329A5,43,27.09,36.12
22,865,5029C,18,11.34,15.12,1262,5090,5.5,3.465,4.62,885,5330A25,206,129.78,173.04
23,867,5029C,18,11.34,15.12,1259,5094,24,15.12,20.16,884,5330A5,44,27.72,36.96
24,1102,5030,2007,1264.41,1685.88,838,5101A10,31.5,19.845,26.46,859,5331A1,12.5,7.875,10.5
25,1103,5030100,2017,1270.71,1694.28,839,5102A10,36.5,22.995,30.66,860,5331A5,59.5,37.485,49.98
26,1105,5030250,2222,1399.86,1866.48,845,5104A5,33.5,21.105,28.14,886,5335A25,108.75,68.5125,91.35
27,863,5030A,17,10.71,14.28,849,5105A5,38.5,24.255,32.34,887,5335A5,21.9,13.797,18.4
28,864,5030A10,159.5,100.485,133.98,846,5106A5,80.5,50.715,67.62,888,5340A,28.5,17.955,23.94
29,866,5030A10,159.5,100.485,133.98,850,5107A5,93,58.59,78.12,889,5340B,47.5,29.925,39.9
30,1104,5031,2076,1307.88,1743.84,1270,5200B,15,9.45,12.6,1128,602100A,924.5,582.435,776.58
31,868,5031A,23,14.49,19.32,1275,52012X,20,12.6,16.8,1125,60230A,662,417.06,556.08
32,870,5032A,22,13.86,18.48,1273,5201L,20,12.6,16.8,1126,60260A,692,435.96,581.28
33,606,5040,33.5,21.105,28.14,1272,5201M,20,12.6,16.8,1127,60280A,899,566.37,755.16
34,1182,603012K,337,212.31,283.08,1136,620090,707,445.41,593.88,1193,630001T,45.5,28.665,38.22
35,1183,603018K,347,218.61,291.48,1137,620100,717,451.71,602.28,1194,630002W,37.5,23.625,31.5
36,1184,603024K,357,224.91,299.88,1138,620110,728,458.64,611.52,1186,630003B,164,103.32,137.76
37,1170,60310012,1490,938.7,1251.6,1139,620120,738,464.94,619.92,1187,630012C,62,39.06,52.08
38,1171,60310018,1500,945,1260,1140,620130,748,471.24,628.32,1188,630018C,69.5,43.785,58.38
39,1172,60310024,1510,951.3,1268.4,1141,620140,758,477.54,636.72,1189,630024C,77.5,48.825,65.1
40,1161,6033012,1161.5,731.745,975.66,1142,620150,768,483.84,645.12,1185,630042P,143.5,90.405,120.54
41,1162,6033018,1177,741.51,988.68,1143,620160,778,490.14,653.52,1190,630112CB,196,123.48,164.64
42,1163,6033024,1187,747.81,997.08,1144,620170,788,496.44,661.92,1191,630118CB,206,129.78,173.04
43,1164,6036012,1192,750.96,1001.28,1145,620180,798,502.74,670.32,1192,630124CB,216.5,136.395,181.86
44,1165,6036018,1202,757.26,1009.68,1146,620190,810,510.3,680.4,1196,6401422,67,42.21,56.28
45,1166,6036024,1222.5,770.175,1026.9,1147,620200,820,516.6,688.8,1197,6402ADJ,146.5,92.295,123.06
46,1167,6038012,1449.5,913.185,1217.58,1148,620210,830,522.9,697.2,1198,6409PC,16.5,10.395,13.86
47,1168,6038018,1464.5,922.635,1230.18,1149,620220,840,529.2,705.6,916,6500128,2443,1539.09,2052.12
48,1169,6038024,1485,935.55,1247.4,1150,620230,850,535.5,714,917,6500244,2952.5,1860.075,2480.1
49,1195,6040422,203,127.89,170.52,1151,620240,860,541.8,722.4,920,6500321,693,436.59,582.12
50,911,6050128,5136,3235.68,4314.24,1152,620250,871,548.73,731.64,921,6500433,948,597.24,796.32
51,912,6050228W,5498,3463.74,4618.32,1153,620260,882,555.66,740.88,922,6500545,1118,704.34,939.12
52,913,6050328R,6522,4108.86,5478.48,1154,620270,893,562.59,750.12,923,6500657,1294.5,815.535,1087.38
53,914,6050428WR,7081.5,4461.345,5948.46,1155,620280,904,569.52,759.36,918,6500728,1437,905.31,1207.08
54,915,605047,3197,2014.11,2685.48,1156,620290,914,575.82,767.76,919,6500844,4073,2565.99,3421.32
55,1106,6160505,395,248.85,331.8,1157,620300,924,582.12,776.16,938,650124MH,2300,1449,1932
56,1107,6160512,425,267.75,357,1158,620310,934,588.42,784.56,937,65012F,1323,833.49,1111.32
57,1110,6160512W,250,157.5,210,1159,620320,944,594.72,792.96,924,6501528,1437,905.31,1207.08
58,1111,6160524A,100,63,84,1160,620330,954,601.02,801.36,925,6501644,1781.5,1122.345,1496.46
59,1108,6161005,670,422.1,562.8,1173,62100A,450.5,283.815,378.42,940,65020BFS,1666.5,1049.895,1399.86
60,1109,6161012,700,441,588,1174,62101B,462.5,291.375,388.5,939,65020BFZ,835,526.05,701.4
61,1129,620020,497,313.11,417.48,1175,62102C,385.5,242.865,323.82,942,65030CFS,1539,969.57,1292.76
62,1130,620030,507,319.41,425.88,1176,62103D,260,163.8,218.4,941,65030CFZ,804,506.52,675.36
63,1131,620040,517,325.71,434.28,1177,62201EA,234,147.42,196.56,944,65040CMS,1172,738.36,984.48
64,1132,620050,527,332.01,442.68,1178,62202S,122,76.86,102.48,943,65040CMZ,800,504,672
65,1133,620060,537,338.31,451.08,1179,62203C,79.5,50.085,66.78,946,65050CRS,550.5,346.815,462.42
66,1134,620070,687,432.81,577.08,1180,62204D,170,107.1,142.8,945,65050CRZ,261,164.43,219.24
67,1135,620080,697,439.11,585.48,1181,62205T,148.5,93.555,124.74,948,65060FMS,1116,703.08,937.44
68,947,65060FMZ,525,330.75,441,386,7007,38,23.94,31.92,174,7016,48,30.24,40.32
69,950,65070WMS,1034.5,651.735,868.98,389,70073X,41,25.83,34.44,176,70163X,50,31.5,42
70,949,65070WMZ,494.5,311.535,415.38,387,7007XL,39,24.57,32.76,153,7016B,71,44.73,59.64
71,952,65080SCS,239.5,150.885,201.18,388,7007XX,40,25.2,33.6,156,7016BEQL/X,89,56.07,74.76
72,951,65080SCZ,229.5,144.585,192.78,494,7008B2X,88,55.44,73.92,155,7016BEQS/M,89,56.07,74.76
73,932,65101DU,146,91.98,122.64,495,7008B3X,89,56.07,74.76,154,7016BX/2X,72,45.36,60.48
74,933,65102DR,311,195.93,261.24,493,7008BLX,87,54.81,73.08,177,7016PC,178,112.14,149.52
75,934,65105D,160,100.8,134.4,492,7008BSM,87,54.81,73.08,175,7016X/2X,48,30.24,40.32
76,936,65105DP5,114.5,72.135,96.18,491,7008BXS,87,54.81,73.08,178,7016XLPC,179,112.77,150.36
77,935,65106M,436.5,274.995,366.66,513,7008PC,198,124.74,166.32,173,7016XS,48,30.24,40.32
78,926,651101U,548.5,345.555,460.74,499,7009B2X,92,57.96,77.28,179,7017,53,33.39,44.52
79,927,651102,303,190.89,254.52,500,7009B3X,93,58.59,78.12,181,70172X,56,35.28,47.04
80,928,651104,609.5,383.985,511.98,498,7009BLX,91,57.33,76.44,182,70173X,57,35.91,47.88
81,929,651106,710.5,447.615,596.82,497,7009BSM,91,57.33,76.44,157,7017B,78.5,49.455,65.94
82,930,6512028VH,540.5,340.515,454.02,496,7009BXS,91,57.33,76.44,158,7017BX/2X,79.5,50.085,66.78
83,931,65135VH,887,558.81,745.08,504,7010B2X,100,63,84,183,7017SMFD,69.5,43.785,58.38
84,1098,68030T,402,253.26,337.68,505,7010B3X,101,63.63,84.84,180,7017XL,55,34.65,46.2
85,1099,68035EP,172,108.36,144.48,503,7010BLX,99,62.37,83.16,185,7018,62,39.06,52.08
86,1100,68040B,200,126,168,502,7010BSM,99,62.37,83.16,187,70182X,65,40.95,54.6
87,1092,6813150K,2396,1509.48,2012.64,501,7010BXS,99,62.37,83.16,528,70182X3XL,197,124.11,165.48
88,1093,6813300K,2713.5,1709.505,2279.34,169,7015,45,28.35,37.8,531,70182X3XO,197,124.11,165.48
89,1094,6814150K,2178,1372.14,1829.52,171,70152X,47,29.61,39.48,188,70183X,66,41.58,55.44
90,1095,6814300K,2495.5,1572.165,2096.22,522,70152X3XL,137.5,86.625,115.5,159,7018B,89,56.07,74.76
91,1096,6814500K,2722,1714.86,2286.48,525,70152X3XO,137.5,86.625,115.5,160,7018BX/2X,90,56.7,75.6
92,1097,681450K,1826,1150.38,1533.84,172,70153X,48,30.24,40.32,527,7018LXL,197,124.11,165.48
93,1101,685020,399,251.37,335.16,1230,70158259,92,57.96,77.28,529,7018LXO,197,124.11,165.48
94,609,7004L,19.5,12.285,16.38,151,7015B,68,42.84,57.12,526,7018SML,197,124.11,165.48
95,610,7004Y,37.5,23.625,31.5,152,7015BX/2X,69,43.47,57.96,530,7018SMO,197,124.11,165.48
96,611,7004YAF,123.5,77.805,103.74,521,7015LXL,137.5,86.625,115.5,186,7018XL,64,40.32,53.76
97,489,7006B2X,83,52.29,69.72,524,7015LXO,137.5,86.625,115.5,184,7018XS,62,39.06,52.08
98,490,7006B3X,84,52.92,70.56,520,7015SML,137.5,86.625,115.5,189,7019A,72,45.36,60.48
99,488,7006BLX,82,51.66,68.88,523,7015SMO,137.5,86.625,115.5,190,7019AX/2X,73,45.99,61.32
100,487,7006BSM,82,51.66,68.88,170,7015XL,46,28.98,38.64,191,7019B,78.5,49.455,65.94
101,486,7006BXS,82,51.66,68.88,168,7015XS,45,28.35,37.8,192,7019BX/2X,79.5,50.085,66.78
102,429,7021,136.5,85.995,114.66,405,7023B,216.5,136.395,181.86,422,7035B3X,280,176.4,235.2
103,431,70212XL,137.5,86.625,115.5,409,7023B2X,217.5,137.025,182.7,423,7035B4X,281,177.03,236.04
104,432,70213X,138.5,87.255,116.34,410,7023B3X,218.5,137.655,183.54,419,7035BL,278,175.14,233.52
105,433,70214X,139.5,87.885,117.18,407,7023BL/X,208,131.04,174.72,418,7035BM,278,175.14,233.52
106,390,7021B,206,129.78,173.04,411,7023BQC,231,145.53,194.04,426,7035BQCL,289.5,182.385,243.18
107,392,7021B2X,207,130.41,173.88,412,7023BQCXL,231,145.53,194.04,425,7035BQCM,289.5,182.385,243.18
108,397,7021BFD2X,215.5,135.765,181.02,406,7023BS/M,208,131.04,174.72,424,7035BQCS,289.5,182.385,243.18
109,395,7021BFDL,214.5,135.135,180.18,408,7023BXL,216.5,136.395,181.86,427,7035BQCXL,289.5,182.385,243.18
110,394,7021BFDM,214.5,135.135,180.18,448,7023QC,161.5,101.745,135.66,417,7035BS,278,175.14,233.52
111,393,7021BFDS,214.5,135.135,180.18,444,7023XL,148,93.24,124.32,420,7035BXL,278,175.14,233.52
112,396,7021BFDXL,214.5,135.135,180.18,449,7027,152,95.76,127.68,478,7035FD2X,210.5,132.615,176.82
113,398,7021BFQC,270.5,170.415,227.22,451,70272X,153,96.39,128.52,479,7035FD3X,211.5,133.245,177.66
114,400,7021BFQC2X,271.5,171.045,228.06,452,70273X,154,97.02,129.36,476,7035FDL,209.5,131.985,175.98
115,401,7021BFQC3X,272.5,171.675,228.9,413,7027B,220.5,138.915,185.22,475,7035FDM,209.5,131.985,175.98
116,399,7021BFQCXL,270.5,170.415,227.22,414,7027BXL,220.5,138.915,185.22,474,7035FDS,209.5,131.985,175.98
117,402,7021BQC,220.5,138.915,185.22,450,7027XL,152,95.76,127.68,477,7035FDXL,209.5,131.985,175.98
118,404,7021BQC2X,222,139.86,186.48,453,7028,130,81.9,109.2,469,7035L,200,126,168
119,403,7021BQCXL,220.5,138.915,185.22,454,7028X/2X,131.5,82.845,110.46,468,7035M,200,126,168
120,391,7021BXL,206,129.78,173.04,456,7029,139.5,87.885,117.18,484,7035QC2X,212.5,133.875,178.5
121,438,7021FD2X,146,91.98,122.64,458,70292X,140.5,88.515,118.02,485,7035QC3X4X,213.5,134.505,179.34
122,439,7021FD3X,147,92.61,123.48,459,70293X,141.5,89.145,118.86,482,7035QCL,211.5,133.245,177.66
123,436,7021FDL,145,91.35,121.8,415,7029B,216.5,136.395,181.86,481,7035QCM,211.5,133.245,177.66
124,435,7021FDM,145,91.35,121.8,416,7029BXL,216.5,136.395,181.86,480,7035QCS,211.5,133.245,177.66
125,434,7021FDS,145,91.35,121.8,457,7029XL,139.5,87.885,117.18,483,7035QCXL,211.5,133.245,177.66
126,437,7021FDXL,145,91.35,121.8,455,7029XS,139.5,87.885,117.18,467,7035S,200,126,168
127,440,7021QC,152,95.76,127.68,465,70343X,215.5,135.765,181.02,470,7035XL,200,126,168
128,442,7021QC2X3X,153,96.39,128.52,462,7034L,213.5,134.505,179.34,466,7035XS,200,126,168
129,441,7021QCXL,152,95.76,127.68,461,7034M,213.5,134.505,179.34,471,7035XXL,201,126.63,168.84
130,430,7021XL,136.5,85.995,114.66,460,7034S,213.5,134.505,179.34,538,7036A,344.5,217.035,289.38
131,428,7021XS,136.5,85.995,114.66,463,7034XL,213.5,134.505,179.34,532,7037,349.5,220.185,293.58
132,443,7023,148,93.24,124.32,464,7034XX,214.5,135.135,180.18,534,70372X,350.5,220.815,294.42
133,445,70232X,149,93.87,125.16,472,70353XL,202,127.26,169.68,533,7037XL,349.5,220.185,293.58
134,446,70233X,150,94.5,126,473,70354XL,203,127.89,170.52,545,7038QC2X,340.5,214.515,286.02
135,447,70234X,151,95.13,126.84,421,7035B2X,279,175.77,234.36,543,7038QCL,339.5,213.885,285.18
136,542,7038QCM,339.5,213.885,285.18,139,7056L,56,35.28,47.04,207,7080B3DS,310,195.3,260.4
137,541,7038QCS,339.5,213.885,285.18,138,7056M,56,35.28,47.04,210,7080B3DXL,310,195.3,260.4
138,544,7038QCXL,339.5,213.885,285.18,137,7056S,56,35.28,47.04,202,7080B3X,301,189.63,252.84
139,535,7039,356,224.28,299.04,140,7056XL,56,35.28,47.04,205,7080BFDL,310,195.3,260.4
140,537,70392X,357,224.91,299.88,143,7060L,45,28.35,37.8,204,7080BFDM,310,195.3,260.4
141,536,7039XL,356,224.28,299.04,142,7060M,45,28.35,37.8,203,7080BFDS,310,195.3,260.4
142,548,7042L,308,194.04,258.72,141,7060S,45,28.35,37.8,206,7080BFDXL,310,195.3,260.4
143,547,7042M,308,194.04,258.72,144,7060XL,45,28.35,37.8,199,7080BL,298.5,188.055,250.74
144,546,7042S,308,194.04,258.72,247,70672D,225,141.75,189,198,7080BM,298.5,188.055,250.74
145,549,7042XL,308,194.04,258.72,248,70672DX/2X,225,141.75,189,197,7080BS,298.5,188.055,250.74
146,335,7047,354,223.02,297.36,195,70732X,100.5,63.315,84.42,200,7080BXL,298.5,188.055,250.74
147,336,7047BFD2X,398,250.74,334.32,196,70733X,101.5,63.945,85.26,255,7080LFD,238,149.94,199.92
148,340,7047QCL,407.5,256.725,342.3,164,7073B2X,104.5,65.835,87.78,250,7080LX,229,144.27,192.36
149,339,7047QCM,407.5,256.725,342.3,165,7073BDL/X,146,91.98,122.64,254,7080MFD,238,149.94,199.92
150,338,7047QCS,407.5,256.725,342.3,163,7073BLX,103.5,65.205,86.94,253,7080SFD,238,149.94,199.92
151,341,7047QCXL,407.5,256.725,342.3,162,7073BSM,103.5,65.205,86.94,249,7080SM,229,144.27,192.36
152,346,7047RL,422,265.86,354.48,194,7073LX,99.5,62.685,83.58,256,7080XLFD,238,149.94,199.92
153,345,7047RM,422,265.86,354.48,193,7073SM,99.5,62.685,83.58,262,70812X,283,178.29,237.72
154,344,7047RS,422,265.86,354.48,167,7074BLX,105.5,66.465,88.62,269,70812XFD,290,182.7,243.6
155,347,7047RXL,422,265.86,354.48,166,7074BSM,105.5,66.465,88.62,272,70812XRD,298,187.74,250.32
156,337,7047XL,354,223.02,297.36,508,7078B2X,120.5,75.915,101.22,263,70813X,284,178.92,238.56
157,552,7048L,307,193.41,257.88,509,7078B3X,121.5,76.545,102.06,216,7081B2X,381,240.03,320.04
158,551,7048M,307,193.41,257.88,506,7078BLX,119.5,75.285,100.38,217,7081B3X,382,240.66,320.88
159,550,7048S,307,193.41,257.88,507,7078BSM,119.5,75.285,100.38,220,7081BFDL,389,245.07,326.76
160,553,7048XL,307,193.41,257.88,512,7079B2X,115.5,72.765,97.02,219,7081BFDM,389,245.07,326.76
161,348,7049,185,116.55,155.4,511,7079BLX,114.5,72.135,96.18,218,7081BFDS,389,245.07,326.76
162,349,7051,166,104.58,139.44,510,7079BSM,114.5,72.135,96.18,221,7081BFDXL,389,245.07,326.76
163,539,7052B,358,225.54,300.72,251,70802X,230,144.9,193.2,214,7081BL,380,239.4,319.2
164,540,7052C,367.5,231.525,308.7,257,70802XFD,239,150.57,200.76,213,7081BM,380,239.4,319.2
165,136,70552X,48.5,30.555,40.74,252,70803X,231,145.53,194.04,212,7081BS,380,239.4,319.2
166,134,7055L,48.5,30.555,40.74,258,70803XFD,240,151.2,201.6,215,7081BXL,380,239.4,319.2
167,133,7055M,48.5,30.555,40.74,201,7080B2X,300,189,252,211,7081BXS,380,239.4,319.2
168,132,7055S,48.5,30.555,40.74,209,7080B3DL,310,195.3,260.4,267,7081LFD,289,182.07,242.76
169,135,7055XL,48.5,30.555,40.74,208,7080B3DM,310,195.3,260.4,261,7081LX,282,177.66,236.88
170,271,7081LXRD,297,187.11,249.48,244,7083BFDM,398.5,251.055,334.74,302,7087BL,270,170.1,226.8
171,266,7081MFD,289,182.07,242.76,243,7083BFDS,398.5,251.055,334.74,301,7087BM,270,170.1,226.8
172,265,7081SFD,289,182.07,242.76,246,7083BFDXL,398.5,251.055,334.74,308,7087BQ2X,306,192.78,257.04
173,260,7081SM,282,177.66,236.88,239,7083BL,392.5,247.275,329.7,306,7087BQL,304.5,191.835,255.78
174,270,7081SMRD,297,187.11,249.48,238,7083BM,392.5,247.275,329.7,305,7087BQM,304.5,191.835,255.78
175,268,7081XLFD,289,182.07,242.76,237,7083BS,392.5,247.275,329.7,304,7087BQS,304.5,191.835,255.78
176,259,7081XS,282,177.66,236.88,240,7083BXL,392.5,247.275,329.7,307,7087BQXL,304.5,191.835,255.78
177,264,7081XSFD,289,182.07,242.76,236,7083BXS,392.5,247.275,329.7,300,7087BS,270,170.1,226.8
178,276,70822X,241,151.83,202.44,285,7083LFD,305,192.15,256.2,303,7087BXL,270,170.1,226.8
179,277,70823X,242,152.46,203.28,279,7083LX,291,183.33,244.44,317,7088B2X,337.5,212.625,283.5
180,226,7082B2X,310,195.3,260.4,284,7083MFD,305,192.15,256.2,318,7088B3X,338.5,213.255,284.34
181,234,7082B3DL,324.5,204.435,272.58,283,7083SFD,305,192.15,256.2,325,7088BFDL,352,221.76,295.68
182,233,7082B3DM,324.5,204.435,272.58,286,7083XLFD,305,192.15,256.2,324,7088BFDM,352,221.76,295.68
183,232,7082B3DS,324.5,204.435,272.58,557,7084L,491,309.33,412.44,323,7088BFDS,352,221.76,295.68
184,235,7082B3DXL,324.5,204.435,272.58,556,7084M,491,309.33,412.44,326,7088BFDXL,352,221.76,295.68
185,227,7082B3X,311,195.93,261.24,555,7084S,491,309.33,412.44,315,7088BL,336,211.68,282.24
186,230,7082BFDL,324.5,204.435,272.58,558,7084XL,491,309.33,412.44,314,7088BM,336,211.68,282.24
